																		
NO	AC	FLIGHT N0	ROUTE	STD	STA	BLOCK	TAT	FREQ	FROM	TO								
8	8-A320	VJ158	SGN-HAN	19:25	21:35	2:10	0:30	1234567	26/Apr	26/Oct								
8	8-A320	VJ167	HAN-SGN	22:05	0:15	2:10	0:30	1234567	26/Apr	26/Oct								
																		
																		
9	9-A320	VJ1157	HAN-SGN	5:00	7:10	2:10	0:30	1234567	31/Mar	26/Oct								
9	9-A320	VJ302	SGN-HUI	7:45	9:10	1:25	0:25	1234567	31/Mar	26/Oct								
9	9-A320	VJ303	HUI-SGN	9:35	11:00	1:25	0:30	1234567	31/Mar	26/Oct								
9	9-A320	VJ276	SGN-HPH	11:30	13:30	2:00	0:25	1234567	31/Mar	26/Oct								
9	9-A320	VJ275	HPH-SGN	13:55	15:55	2:00	0:40	1234567	31/Mar	26/Oct								
9	9-A320	VJ362	SGN-DLI	16:35	17:30	0:55	0:25	1234567	31/Mar	26/Oct								
9	9-A320	VJ363	DLI-SGN	17:55	18:50	0:55	0:30	1234567	31/Mar	26/Oct								
9	9-A320	VJ640	SGN-DAD	19:20	20:40	1:20	0:25	1234567	30/May	26/Oct								
9	9-A320	VJ641	DAD-SGN	21:05	22:30	1:25	0:30	1234567	30/May	26/Oct								
9	9-A320	VJ1120	SGN-HAN	23:00	1:10	2:10	0:35	1234567	31/Mar	26/Oct								
																		
																		
																		
10	13-A320	VJ501	HAN-DAD	5:30	6:50	1:20	0:25	1234567	31/Mar	26/Oct								
10	13-A320	VJ504	DAD-HAN	7:15	8:35	1:20	0:30	1234567	31/Mar	26/Oct								
10	13-A320	VJ1773	HAN-CXR	9:05	10:55	1:50	1:00	135	31/Mar	26/Oct								
10	13-A320	VJ1772	CXR-HAN	11:55	13:45	1:50	1:00	135	31/Mar	26/Oct								
10	13-A320	VJ129	HAN-SGN	9:05	11:15	2:10	0:30	2467	31/Mar	26/Oct								
10	13-A320	VJ134	SGN-HAN	11:45	13:55	2:10	0:40	2467	31/Mar	26/Oct								
10	13-A320	VJ143	HAN-SGN	14:35	16:45	2:10	0:30	1234567	31/Mar	26/Oct								
10	13-A320	VJ384	SGN-UIH	17:15	18:25	1:10	0:25	1234567	31/Mar	26/Oct								
10	13-A320	VJ385	UIH-SGN	18:50	19:55	1:05	0:30	1234567	31/Mar	26/Oct								
10	13-A320	VJ160	SGN-HAN	20:25	22:35	2:10	0:30	1234567	31/Mar	26/Oct								
